Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Mahaprithibi,Social,"When an aged woman commits suicide, the mystery behind it unfurls her family members’ secrets that led her to end her life. Watch the full movie on Hoichoi.",U,1,1991,Mrinal Sen,"Soumitra Chatterjee, Aparna Sen, Anjan Dutt","when, aged, woman, commits, suicide, mystery, behind, unfurls, family, members, secrets, led, end, life, watch, full, movie, hoichoi",,
Bandhu,Romance,"One of the classics, ‘Bandhu’ weaves a story of friendship lost and searched, when two friends fall for the same woman. Watch the full movie on Hoichoi.",U,1,1958,Chitto Bose,"Uttam Kumar, Mala Sinha, Chhabi Biswas","one, classics, bandhu, weaves, story, friendship, lost, searched, when, two, friends, fall, same, woman, watch, full, movie, hoichoi",,
Samadhan,Social,This Pre-Independence movie is about a factory worker unknowingly falling in love with his torturous factory owner’s daughter. Watch the full movie on Hoichoi.,U,1,1943,Premendra Mitra,"Chhabi Biswas, Robin Majumdar, Dhiraj Bhattacharya","pre, independence, movie, factory, worker, unknowingly, falling, love, torturous, factory, owner, s, daughter, watch, full, movie, hoichoi",,
Abohoman,Drama,Aniket is a filmmaker whose relation with his family go through a lot of revelations as wannabe actress Shikha enters his life. Watch the full movie on Hoichoi.,U/A 13+,3,2010,Rituparno Ghosh,"Ananya Chatterjee, Mamata Shankar, Dipankar Dey, Jisshu Sengupta, Riya Sen","aniket, filmmaker, whose, relation, family, go, lot, revelations, wannabe, actress, shikha, enters, life, watch, full, movie, hoichoi",,
Goraay Gondogol,Comedy,Marriage is on the cards for Rik and Paula; however ‘family’ becomes an issue that has to be handled under any circumstances. Watch the full movie on Hoichoi.,U/A 13+,3,2012,Aniket Chattopadhyay,"Rahul, Rajatava Dutta, Kharaj Mukherjee","marriage, cards, rik, paula, however, family, becomes, issue, handled, any, circumstances, watch, full, movie, hoichoi",,
Andha Prem (2003),Romance,"When Bijoy and Sima's love is opposed by her father, Bijoy has to prove his worth and win her hand in marriage. Watch the full movie on Hoichoi.",U/A 7+,2,2003,Narayan Chatterjee,"Prosenjit Chatterjee, Rachana Banerjee, Laboni Sarkar","when, bijoy, sima, s, love, opposed, father, bijoy, prove, worth, win, hand, marriage, watch, full, movie, hoichoi",,
Projapoti Biskut,Romance,"Sraboni unlike husband Antor, is an independent woman living a suppressed life. Will Antor be able to mend their relationship? Watch the full movie on Hoichoi!",U/A 13+,3,2017,Anindya Chatterjee,"Ishaa Saha, Anindya Sengupta","sraboni, unlike, husband, antor, independent, woman, living, suppressed, life, antor, able, mend, relationship, watch, full, movie, hoichoi",,
Shob Charitro Kalponik,Drama,"While Radhika is on the brink of divorce, her husband dies suddenly. This incident takes her on a journey of reminiscence where she strives to know the unknown from her past. ",U/A 13+,3,2009,Rituparno Ghosh,"Bipasha Basu, Prosenjit Chattopadhyay, Jisshu Sengupta","radhika, brink, divorce, husband, dies, suddenly, incident, takes, journey, reminiscence, where, strives, know, unknown, past",,
Belaseshe,Drama,"Biswanath and Arati were an ideal couple to everyone, till they decide to divorce. Was their marriage just a compromise? Watch the full movie on Hoichoi.",U/A 13+,3,2015,"Nandita Roy, Shiboprasad Mukherjee","Soumitra Chatterjee, Swatilekha Sengupta, Shankar Chakraborty, Indrani Dutta, Rituparna Sengupta, Sujoy Prasad, Aparajita Adhya, Kharaj Mukherjee, Monami Ghosh, Anindya Chattopadhyay","biswanath, arati, ideal, couple, everyone, till, decide, divorce, marriage, just, compromise, watch, full, movie, hoichoi",,
Praktan,Drama,A train journey let Sudipa share her compartment with Malini who is none other than her ex-husband’s wife. What happens next? Watch the full movie on Hoichoi.,U/A 13+,3,2016,"Nandita Roy, Shiboprasad Mukherjee","Prosenjit Chattopadhyay, Rituparna Sengupta, Aparajita Adhya","train, journey, let, sudipa, share, compartment, malini, who, none, other, than, ex, husband, s, wife, what, happens, next, watch, full, movie, hoichoi",,
Hello Kolkata,Drama,The film explores the relationship of four couples dealing with different issues in life. Will they ever find hope? Watch the full movie on Hoichoi.,U/A 13+,3,2008,Manoj Michigan,"Swastika Mukherjee, Sreelekha Mitra, Rudranil Ghosh","film, explores, relationship, four, couples, dealing, different, issues, life, ever, find, hope, watch, full, movie, hoichoi",,
Devipaksha,Social Drama,"It is Durga Puja, and Haimanti has chosen the occasion to return to her parents, but with a certain revenge on her mind. Watch the full movie on Hoichoi.",U/A 7+,2,2008,Raja Sen,"Soumitra Chatterjee, Sandhya roy, Rituparna Sengupta, Koel, Satabdi Roy","durga, puja, haimanti, chosen, occasion, return, parents, certain, revenge, mind, watch, full, movie, hoichoi",,
Kidnapper,Comedy,Three friends try to fulfil their socio-economic crisis: to become kidnappers. Can they sort out their crisis? Watch the full movie on Hoichoi.,U/A 7+,2,2013,Rupak Majumdar,"Samadarshi Dutt, Ridhima Ghosh, Paran Bandopadhyay","three, friends, try, fulfil, socio, economic, crisis, become, kidnappers, sort, crisis, watch, full, movie, hoichoi",,
Nimantran,Drama,"Two estranged lovers meet years later when both married and settled in their own lives. As old feelings are rekindled, will they take any steps to go against the social customs? ",U,1,1971,Tarun Majumdar,"Anup Kumar, Jahar Roy, Sandhya Roy","two, estranged, lovers, meet, years, later, when, both, married, settled, own, lives, old, feelings, rekindled, take, any, steps, go, against, social, customs",,
Bicycle Kick,Sports Drama,"A journey of rediscovering oneself through the alleys of disturbed pasts, and a hope to find the light at the end of the tunnel. Watch the full movie on Hoichoi.",U/A 7+,2,2013,"Debashish Sen Sharma, Sumit Das","Soumitra Chatterjee, Ritwick Chakraborty, Ridhima Ghosh","journey, rediscovering, oneself, alleys, disturbed, pasts, hope, find, light, end, tunnel, watch, full, movie, hoichoi",,
ACP Ranveer,Action,"ACP Ranveer stays unperturbed even during critical times. How will he handle the situation, when his family’s peace is at stake? Watch the full movie on Hoichoi.",U/A 13+,3,2012,Sudhakar Basanta,"Anubhav Mohanty, Pradip Singh Rawat, Sofia Alam","acp, ranveer, stays, unperturbed, even, during, critical, times, how, handle, situation, when, family, s, peace, stake, watch, full, movie, hoichoi",,
Gangstar King,Action,"Prem may seem an ordinary person, but social stigmas have given him the title of a Mafia. Is that Prem's real identity? Watch the full movie on Hoichoi.",U/A 13+,3,2014,Debabrata Barman,"Shoaib Khan, Kharaj Mukherjee, Sagnik","prem, seem, ordinary, person, social, stigmas, given, title, mafia, prem, s, real, identity, watch, full, movie, hoichoi",,
U-Turn,Thriller,"Friends go on a trip, where each have their personal issues, till they accidentally come across a stranger. What happens next? Watch the full movie on Hoichoi.",U/A 13+,3,2010,Animesh Roy,"Soumili Biswas, Indrajit, Arpita Dutta Choudhury","friends, go, trip, where, each, personal, issues, till, accidentally, come, across, stranger, what, happens, next, watch, full, movie, hoichoi",,
Parinam,Action,"Love is an unforgivable crime for ex-army man Sashibhushan Choudhury, a man of strict ideologies. Situations crop up when his daughter Nisha falls in love with Raghu and secretly marries him. What will be the outcome now? Watch the full movie on Hoichoi.",U/A 7+,2,2005,Tanmoy Mukhopadhyay,"Victor Banerjee, Sharad Kapoor, Biplab Chatterjee","love, unforgivable, crime, ex, army, man, sashibhushan, choudhury, man, strict, ideologies, situations, crop, when, daughter, nisha, falls, love, raghu, secretly, marries, what, outcome, now, watch, full, movie, hoichoi",,
Kecho Khurte Kewte (2014),Drama,"While he attempts to mend his married life, a man is accused of a murder. Which way will he go now? Watch the full movie on Hoichoi.",U/A 7+,2,2014,Sanghamitra Chowdhury,"Amitabh Battacharya, Pamela, Pallabi Chattopadhyay","attempts, mend, married, life, man, accused, murder, which, way, go, now, watch, full, movie, hoichoi",,
Swamir Ghar,Drama,"Ajay’s life is full of struggles. He meets Sangita, a woman with an opposite societal status. Can love break the barrier? Watch the full movie on Hoichoi.",U/A 7+,2,1999,Swapan Saha,"Prosenjit Chatterjee, Rituparna Sengupta, Soumitra Chatterjee","ajay, s, life, full, struggles, meets, sangita, woman, opposite, societal, status, love, break, barrier, watch, full, movie, hoichoi",,
Kencho Khurte Keute,Drama,Parama's grandfather has left her a will but along with a condition that she must get married to inherit the property. Will she play the fairway?,U/A 7+,2,1995,Chiranjeet Chakraborty,"Chiranjeet Chakraborty, Indrani Dutta, Utpal Dutta","parama, s, grandfather, left, along, condition, get, married, inherit, property, play, fairway",,
Ebong Tumi Aar Ami,Drama,Anindita is a woman of principles while Karuna Roy is a politician with high ambition. What happens when these worlds collide? Watch the full movie on Hoichoi.,U/A 7+,2,1997,Goutam Basu,"Soumitra Chatterjee, Rajatava Dutta, Indrani Haldar","anindita, woman, principles, karuna, roy, politician, high, ambition, what, happens, when, worlds, collide, watch, full, movie, hoichoi",,
Amader Janani,Drama,Mamata has been a devoted homemaker. But will her family support her when her talent is revealed to the outside world? Watch the full movie on Hoichoi.,U/A 7+,2,2000,Raj Mukherjee,"Soumitra Chatterjee, Anuradha Ray, Dipankar Dey","mamata, devoted, homemaker, family, support, when, talent, revealed, outside, world, watch, full, movie, hoichoi",,
Khawto,Thriller,A couple comes across renowned writer Nirbed Lahiri during a holiday. Things take a turn when he shares his tale of lust. Watch the full movie on Hoichoi.,A 18+,5,2016,Kamaleswar Mukherjee,"Prosenjit Chatterjee, Paoli Dam, Raima Sen","couple, comes, across, renowned, writer, nirbed, lahiri, during, holiday, things, take, turn, when, shares, tale, lust, watch, full, movie, hoichoi",,
Bye Bye Bangkok,Comedy,"A dream trip to Bangkok led couples choosing the wrong ways to reach their destination, hiding it from their respective partners. Comically crafted with ingredients of laughter, the events follow only to end in a different flavor. Watch the full movie on Hoichoi.",U/A 16+,4,2011,Aniket Chattopadhyay,"Swastika Mukherjee, Kanchan Mullick, Rudranil Ghosh","dream, trip, bangkok, led, couples, choosing, wrong, ways, reach, destination, hiding, respective, partners, comically, crafted, ingredients, laughter, events, follow, only, end, different, flavor, watch, full, movie, hoichoi",,
Accident,Social,"Retired cricketer Arko devotes his life to his son. Will he accept fate or stand up, when an accident shakes his family life? Watch the full movie on Hoichoi.",U/A 13+,3,2012,"Nandita Roy, Shiboprosad Mukherjee","Shiboprosad Mukherjee, Sabyasachi Chakrabarty, Debshankar Haldar","retired, cricketer, arko, devotes, life, son, accept, fate, stand, when, accident, shakes, family, life, watch, full, movie, hoichoi",,
Chha-e Chuti,Comedy,"When the shooting of the cast of a film is delayed, they take a trip to a beach but things turn upside down when they encounter a murder on the beach.",U/A 16+,4,2009,Aniket Chattopadhyay,"Sabyasachi Chakraborty, Rudranil Ghosh, Locket Chatterjee","when, shooting, cast, film, delayed, take, trip, beach, things, turn, upside, when, encounter, murder, beach",,
Room No 103,Mystery,Four incidents which happened to four different people are interconnected to one place where they occurred: a hotel room. Watch the full movie on Hoichoi.,U/A 16+,4,2015,Aniket Chattopadhyay,"Soumitra Chatterjee, Jisshu Sengupta, Priyanka Sarkar","four, incidents, which, happened, four, different, people, interconnected, one, place, where, occurred, hotel, room, watch, full, movie, hoichoi",,
Byomkesh O Chiriakhana,Detective,Residents of a farmhouse get welcomed by Byomkesh’s sudden visit as someone has been in disguise. Will Byomkesh recognise? Watch the full movie on Hoichoi.,U/A 16+,4,2016,Anjan Dutt,"Jisshu Sengupta, Saswata Chatterjee, Saayoni Ghosh","residents, farmhouse, get, welcomed, byomkesh, s, sudden, visit, someone, disguise, byomkesh, recognise, watch, full, movie, hoichoi",,
Byomkesh Bakshi : Adim Ripu,Detective,A person has to pay for the crimes he commits. Byomkesh does a post-mortem of the evil deeds in order to pull out the truth. Watch the full movie on Hoichoi.,U/A 16+,4,2010,Anjan Dutt,"Abir Chatterjee, Saswata Chatterjee, Swastika Mukherjee, Rudranil Ghosh","person, pay, crimes, commits, byomkesh, post, mortem, evil, deeds, order, pull, truth, watch, full, movie, hoichoi",,
Byomkesh Phire Elo,Detective,Byomkesh overcomes every obstacle while searching for the truth behind the murder of a rich businessman and his bodyguard. Watch the full movie on Hoichoi.,U/A 16+,4,2014,Anjan Dutt,"Abir Chatterjee, Saswata Chatterjee, Ushasie Chakraborty","byomkesh, overcomes, every, obstacle, searching, truth, behind, murder, rich, businessman, bodyguard, watch, full, movie, hoichoi",,
Byomkesh Bakshi,Detective,"Byomkesh reaches a coalmine for investigation, to find an account of sinful events, waiting to be served to them. Watch the full movie on Hoichoi.",U/A 16+,4,2015,Anjan Dutt,"Jisshu Sengupta, Saswata Chatterjee, Kaushik Sen","byomkesh, reaches, coalmine, investigation, find, account, sinful, events, waiting, served, watch, full, movie, hoichoi",,
Ek Nodir Galpo,Social,This movie narrates one father-daughter relationship. The river flowing beside the village is the only silent witness. Watch the full movie on Hoichoi.,U/A 16+,4,2006,Samir Chanda,"Mithun Chakraborty, Jisshu Sengupta, Shweta Basu Prasad","movie, narrates, one, father, daughter, relationship, river, flowing, beside, village, only, silent, witness, watch, full, movie, hoichoi",,
Adbhoot,Horror Comedy,A once-wealthy joint family experiences strange occurrences in the 200 year old house they live in. Are they for good or bad? Watch the full movie on Hoichoi.,U/A 13+,3,2013,Sayantan Mukherjee,"Soumitra Chatterjee, Paran Bandyopadhyay, Kharaj Mukherjee","once, wealthy, joint, family, experiences, strange, occurrences, 200, year, old, house, live, good, bad, watch, full, movie, hoichoi",,
Chupi Chupi Ashey,Mystery,"The film portrays the story of a woman, who is murdered and a hand bill of a resort is the only existing evidence found. Watch the full movie on Hoichoi.",U/A 7+,2,1960,Premendra Mitra,"Chhabi Biswas, Robin Majumdar, Jahar Ganguly","film, portrays, story, woman, who, murdered, hand, bill, resort, only, existing, evidence, found, watch, full, movie, hoichoi",,
Apan Jan,Drama,"A lonely widow comes to Kolkata with a man she believes to be her nephew. However, when she gets exploited, she moves out into the world of violence.",U,1,1968,Tapan Sinha,"Swaroop Dutta, Samit Bhanja, Rabi Ghosh","lonely, widow, comes, kolkata, man, believes, nephew, however, when, gets, exploited, moves, world, violence",,
Muktisnan,Drama,Shamita discovers Uday's wavering character after their marriage. Will she be able to change him for the better? Watch the full movie on Hoichoi.,U/A 7+,2,2005,Ajit Ganguly,"Anil Chatterjee, Sabitri Chatterjee, Lolita Chatterjee","shamita, discovers, uday, s, wavering, character, marriage, able, change, better, watch, full, movie, hoichoi",,
Bhalobasar Anek Naam,Romance,"Bimal gets transferred to a village, where everyone showers him with nothing but love. Does he remain loyal to their affection? Watch the full movie on Hoichoi.",U/A 7+,2,2006,Tarun Majumdar,"Gaurab Chattopadhyay, Soumitra Chatterjee, Paran Bandopadhyay","bimal, gets, transferred, village, where, everyone, showers, nothing, love, remain, loyal, affection, watch, full, movie, hoichoi",,
Uttar Meleni,Romance,A film about love shared by two totally different characters. How do they survive the onslaught life throws at them? Watch the full movie on Hoichoi.,U,1,1982,Uday Bhattacharya,"Ranjit Mallick, Dipankar Dey, Samit Bhanja","film, love, shared, two, totally, different, characters, how, survive, onslaught, life, throws, watch, full, movie, hoichoi",,
Bhalobashi Tomake,Drama,"Sagar grows up to be a man, with temper issues, who falls in love with a girl. Can she help him rectify his drawbacks? Watch the full movie on Hoichoi.",U/A 7+,2,2005,Swapan Saha,"Victor Banerjee, Prosenjit Chatterjee, Rituparna Sengupta","sagar, grows, man, temper, issues, who, falls, love, girl, help, rectify, drawbacks, watch, full, movie, hoichoi",,
Amrit Kumbher Sandhane,Devotional,The story revolves around the protagonist who visits Kumbh Mela to understand the perception of the devotees who visit there. Watch the full movie on Hoichoi.,U,1,1982,"
Sudhin Dasgupta","Aparna Sen, Subhendu Chatterjee, Anup Kumar","story, revolves, around, protagonist, who, visits, kumbh, mela, understand, perception, devotees, who, visit, there, watch, full, movie, hoichoi",,
Baisakhi Megh,Drama,"Set in the pre-independence era, ""Baisakhi Megh"" revolves around four college students who rob a bank and unintentionally land up killing a police officer.",U/A 7+,2,1981,Utpal Dutta,"Rabi Ghosh, Sumitra Mukherjee, Shobha Sen","set, pre, independence, era, baisakhi, megh, revolves, around, four, college, students, who, rob, bank, unintentionally, land, killing, police, officer",,
Bidhatar Khela,Comedy,Biswanath & Uma have sacrificed a lot in their lives but get repaid with nothing. What happens when they become homeless? Watch the full movie on Hoichoi.,U,1,2001,Mohanjit Prasad,"Jisshu Sengupta, Ranjit Mallick, Manoj Mitra","biswanath, uma, sacrificed, lot, lives, get, repaid, nothing, what, happens, when, become, homeless, watch, full, movie, hoichoi",,
Rakhe Hari Mare Ke,Action,"The co-patriots of an army captain back stab him, and he dies. Can his sons now prove their father's innocence? Watch the full movie on Hoichoi.",U/A 7+,2,2003,Ratan Adhikari,"Prosenjit Chatterjee, Rachana Banerjee, Raima Sen","co, patriots, army, captain, back, stab, dies, sons, now, prove, father, s, innocence, watch, full, movie, hoichoi",,
Ami Je Ke Tomar,Drama,"Aditya’s best friend Prachi is his business partner. He meets Esha and is smitten by her, being unaware about her past. Watch the full movie on Hoichoi. ",U/A 13+,3,2017,Rabi Kinagi,"Ankush, Sayantika Banerjee, Nusrat Jahan","aditya, s, best, friend, prachi, business, partner, meets, esha, smitten, unaware, past, watch, full, movie, hoichoi",,
Paanch Adhyay,Romance,"Ishita and Arindam have different ideologies. Does the love stay as the only constant, amidst other emotions? Watch the full movie on Hoichoi.",U/A 13+,3,2012,Pratim D Gupta,"Priyanshu Chatterjee, Dia Mirza, Soumitra Chatterjee","ishita, arindam, different, ideologies, love, stay, only, constant, amidst, other, emotions, watch, full, movie, hoichoi",,
Posto,Drama,"Posto lives with his grandparents in Shantiniketan, till his parents come from Kolkata to take him. Who will he choose now? Watch the full movie on Hoichoi.",U/A 13+,3,2017,"Nandita Roy, Shiboprasad Mukherjee","Soumitra Chatterjee, Jisshu Sengupta, Mimi Chakraborty, Lily Chakraborty, Argha Basu Roy","posto, lives, grandparents, shantiniketan, till, parents, come, kolkata, take, who, choose, now, watch, full, movie, hoichoi",,
Goopy Bagha Phire Elo,Comedy,"""Goopy Bagha Phire Elo"", the third film of the Goopy-Bagha trilogy as Goopy and Bagha go to the evil Brahmananda who promises to make them young, if they procure three precious stones.",U,1,1992,Sandip Ray,"Rabi Ghosh, Tapen Chatterjee, Ajit Bandopadhyay","goopy, bagha, phire, elo, third, film, goopy, bagha, trilogy, goopy, bagha, go, evil, brahmananda, who, promises, make, young, procure, three, precious, stones",,
Chotushkone,Thriller,Four directors team up with their ideas to turn them into a movie of four short stories with 'Death' being the main theme. Watch the full movie on Hoichoi.,U/A 16+,4,2014,Srijit Mukherjee,"Parambrata Chattopadhyay, Aparna Sen, Chiranjeet Chakraborty, Goutam Ghose, Kaushik Ganguly","four, directors, team, ideas, turn, movie, four, short, stories, death, main, theme, watch, full, movie, hoichoi",,
Jaatishwar,Musical Drama,"Rohit decides to do a dissertation on the famous Portuguese-origin Bengali singer-songwriter, Hensman Anthony, from 19th century.  On his research trail, he comes across a librarian, Kushal Hazra, who claims to be the reincarnation of Anthony himself. ",U/A 7+,2,2014,Srijit Mukherjee,"Prosenjit Chattopadhyay, Jisshu Sengupta, Swastika Mukherjee","rohit, decides, dissertation, famous, portuguese, origin, bengali, singer, songwriter, hensman, anthony, 19th, century, research, trail, comes, across, librarian, kushal, hazra, who, claims, reincarnation, anthony, himself",,
Mistake,Romance,"The film focuses on the issues of live-in relationships, especially given the conservative constraints of today's society. Watch the full movie on Hoichoi.",U,1,2013,SK,"Preeti Jhangiani, Vikram Chatterjee, Indrani Haldar","film, focuses, issues, live, relationships, especially, given, conservative, constraints, today, s, society, watch, full, movie, hoichoi",,
Rajdanda,Drama,"The movie depicts the hardships and difficulties faced my moralities, when immoral deeds emerge to challenge them. Watch the full movie on Hoichoi.",U/A 13+,3,1999,Ranjit Banerjee,"Chiranjeet Chakraborty, Debashree Roy, Sabyasachi Chakraborty","movie, depicts, hardships, difficulties, faced, moralities, when, immoral, deeds, emerge, challenge, watch, full, movie, hoichoi",,
Shapath,Action,"When an MLA’s son Akash rapes a local woman, police officer Ranadeep makes it his life's mission to get the victim her justice. Watch the full movie on Hoichoi.",U/A 13+,3,2015,Anup Kumar De,"Tota Roy Choudhury, Sudip Mukherjee, Arindol Bagchi","when, mla, s, son, akash, rapes, local, woman, police, officer, ranadeep, makes, life, s, mission, get, victim, justice, watch, full, movie, hoichoi",,
Bhokter Maa,Devotional,A religious drama based on the Hindu myth of the war between the gods and the demons who plague and terrorised mortals on earth. Watch the full movie on Hoichoi.,U,1,1998,Basant Saha,"Manoj Das, Priyanvada Roy, Anu Choudhari","religious, drama, based, hindu, myth, war, gods, demons, who, plague, terrorised, mortals, earth, watch, full, movie, hoichoi",,
Swabhoomi,Drama,The tale of a woman's journey as she searches for her missing husband during a civil war. How will she succeed? Watch the full movie on Hoichoi.,U/A 13+,3,2013,Ujjal Chatterjee,"Jackie Shroff, Debashree Roy, Tapas Paul","tale, woman, s, journey, searches, missing, husband, during, civil, war, how, succeed, watch, full, movie, hoichoi",,
Love In Rajasthan,Romance,"Protha and Yuvraj meet on a trip and fall in love, but she is already engaged to marry someone else. Will their love survive? Watch the full movie on Hoichoi.",U/A 13+,3,2005,Debraj Sinha,"Jackie Shroff, Rajatava Dutta, Kharaj Mukherjee","protha, yuvraj, meet, trip, fall, love, already, engaged, marry, someone, else, love, survive, watch, full, movie, hoichoi",,
Ebar Shabor,Mystery,"In the first instalment of the Goenda Shabor series, Detective Shabor Dasgupta investigates the mysterious murder of Mitali, a young woman plagued by her messy past. Shabor and his assistant, Nanda, encounter a string of Mitali's friends and family who all turn out to be suspects in her murder. ",U/A 16+,4,2015,Arindam Sil,"Saswata Chatterjee, Subhrajit Dutta, Swastika Mukherjee, Abir Chatterjee, Paayel Sarkar, Ritwick Chakraborty, Rahul Banerjee","first, instalment, goenda, shabor, series, detective, shabor, dasgupta, investigates, mysterious, murder, mitali, young, woman, plagued, messy, past, shabor, assistant, nanda, encounter, string, mitali, s, friends, family, who, all, turn, suspects, murder",,
Bunohaansh,Thriller,Amal is a simple man who wishes to fly to the wilder side of life to meet his temptations. Will he fulfill his wish? Watch the full movie on Hoichoi.,U/A 16+,4,2014,Aniruddha Roy Chowdhury,"Dev, Srabanti, Tnusree Chakraborty","amal, simple, man, who, wishes, fly, wilder, side, life, meet, temptations, fulfill, wish, watch, full, movie, hoichoi",,
Dhanni Meye,Comedy,"At the Nangteshwar Shield tournament, Bogola and his teammates from the Sarbamangala Football Club face challenges not only on the field but also outside of it as the local club president strives to keep the ancestral shield in the family through hook or crook.",U,1,1971,Arabinda Mukhopadhyay,"Uttam Kumar, Sabitri Chatterjee, Jaya Bachchan","nangteshwar, shield, tournament, bogola, teammates, sarbamangala, football, club, face, challenges, not, only, field, also, outside, local, club, president, strives, keep, ancestral, shield, family, hook, crook",,
Gogoler Kirti,Drama,"On arriving at a friend’s place for Durga Puja, Gogol finds a statuette is missing. Gogol and Ashok team up to solve the case. Watch the full movie on Hoichoi.",U/A 7+,2,2014,Pompy Ghosh Mukherjee,"Ahijit Ghosh, Indraneil Sengupta, Vikram Chatterjee","arriving, friend, s, place, durga, puja, gogol, finds, statuette, missing, gogol, ashok, team, solve, case, watch, full, movie, hoichoi",,
Boudi.Com,Drama,"This movie draws inspiration from the lives of the Pandavas, with a comic twist in the time-accepted epic. Watch the full movie on Hoichoi.",U/A 7+,2,2015,Raj Mukherjee,"Rachana Banerjee, Saswata Chatterjee, Kanchan Mullick","movie, draws, inspiration, lives, pandavas, comic, twist, time, accepted, epic, watch, full, movie, hoichoi",,
Mon Churi,Comedy,"Mon Churi is set in a special school for thieves where petty crooks, Kartik and Ganesh befriend an aspiring minister. Watch the full movie on Hoichoi.",U/A 7+,2,2015,Premasish Dey,"Saswata Chatterjee, Biswanath Basu, Kharaj Mukherjee","mon, churi, set, special, school, thieves, where, petty, crooks, kartik, ganesh, befriend, aspiring, minister, watch, full, movie, hoichoi",,
Half Serious,Comedy,"A funny take on issues like gender inequality and domestic violence, this is a satirical film on various problems women face. Watch the full movie on Hoichoi.",U/A 7+,2,2013,Utsav Mukherjee,"Roopa Ganguly, Silajit Majumder, Ridhima Ghosh","funny, take, issues, gender, inequality, domestic, violence, satirical, film, various, problems, women, face, watch, full, movie, hoichoi",,
Banku Babu,Comedy,"Banku Babu dominates his entire household, till he meets with an accident which leads to amnesia. What happens next? Watch the full movie on Hoichoi.",U/A 7+,2,2014,Anindya Bikash Dutta,"Saswata Chatterjee, Arjun Chakraborty, Laboni Sarkar","banku, babu, dominates, entire, household, till, meets, accident, which, leads, amnesia, what, happens, next, watch, full, movie, hoichoi",,
Ganesh Talkies,Drama,Anjan Dutta's directorial venture of a masala flick is about the clash of culture between Bengalis and Marwaris. Watch the full movie on Hoichoi.,U/A 13+,3,2013,Anjan Dutt,"Raima Sen, Chandan Roy Sanyal, Rajesh Sharma","anjan, dutta, s, directorial, venture, masala, flick, clash, culture, bengalis, marwaris, watch, full, movie, hoichoi",,
Game,Action,"A play-off between the good and the bad, this game finds its winner as it reaches the climax. Watch the full movie on Hoichoi.",U/A 13+,3,2014,Baba Yadav,"Jeet, Subhashree Ganguly","play, good, bad, game, finds, winner, reaches, climax, watch, full, movie, hoichoi",,
Meghe Dhaka Tara (1960),Drama,"Neeta sacrifices everything for her family, even her health, while her achievements are hardly recognised by them. Watch the full movie on Hoichoi.",U/A 13+,3,1960,Ritwik Ghatak,"Supriya Devi, Anil Chatterjee, Gita Ghatak","neeta, sacrifices, everything, family, even, health, achievements, hardly, recognised, watch, full, movie, hoichoi",,
Kantatar,Comedy,"Set against the backdrop of border problems; the film focuses on immigrant Sudha, who has to survive in a foreign country. Watch the full movie on Hoichoi.",U/A 13+,3,2005,Bappaditya Bandopadhyay,"Sreelekha Mitra, Sudip Mukherjee, Rudranil Ghosh","set, against, backdrop, border, problems, film, focuses, immigrant, sudha, who, survive, foreign, country, watch, full, movie, hoichoi",,
Rajlakshmi O Srikanta,Drama,"Based on the novel Srikanta of Sarat Chandra Chattopadhyay, the story revolves around Srikanta whose paths are crossed with Pyaribai as he discovers that she is his childhood love, Rajlakshmi.",U/A 7+,2,1958,Haridas Bhattacharya,"Uttam Kumar, Suchitra Sen, Tulsi Chakraborty","based, novel, srikanta, sarat, chandra, chattopadhyay, story, revolves, around, srikanta, whose, paths, crossed, pyaribai, discovers, childhood, love, rajlakshmi",,
Bagh Bondi Khela,Drama,"Rajesh cannot condone his father’s vices and illegal crimes. Will he stand by his father, when he decides to support Rajesh? Watch the full movie on Hoichoi.",U/A 7+,2,1975,Piyush Bose,"Uttam Kumar, Partha Mukherjee, Supriya Devi","rajesh, cannot, condone, father, s, vices, illegal, crimes, stand, father, when, decides, support, rajesh, watch, full, movie, hoichoi",,
Nagarik,Mystery,The sole dream of Ramu and Uma to build a happy life together is burdened by a pile of obstacles on their way due to economic upheaval in post-partition India.,U/A 7+,2,1977,Ritwik Ghatak,"Satindra Bhattacharya, Prova Debi, Kali Banerjee","sole, dream, ramu, uma, build, happy, life, together, burdened, pile, obstacles, way, due, economic, upheaval, post, partition, india",,
Taan,Drama,"A prostitution ring exposed in the Sunderbans, results in the kidnapping of a photographer. What happens next? Watch the full movie on Hoichoi.",A 18+,5,2014,Mukul Roy Chowdhury,"Rituparna Sengupta, Debolina Dutta, Chandan Sen","prostitution, ring, exposed, sunderbans, results, kidnapping, photographer, what, happens, next, watch, full, movie, hoichoi",,
Cocktail,Romance,"Kishaloy lies to his landlord - he is married, to get an apartment, not knowing that his dreamgirl could actually show up. Watch the full movie on Hoichoi.",A 18+,5,2014,Swapan Saha,"Abhishek Chatterjee, Trambak, Rajatava Dutta","kishaloy, lies, landlord, married, get, apartment, not, knowing, dreamgirl, actually, show, watch, full, movie, hoichoi",,
